=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 2 | Training...
step 3 | Training...
step 4 | Training...
step 5 | Training...
step 1505 | Training...
step 1506 | Training...
step 1507 | Training...
step 1508 | Training...
step 1509 | Training...
step 1510 | Training...
step 1511 | Training...
step 1512 | Training...
step 1513 | Training...
step 1514 | Training...
step 1515 | Training...
step 1516 | Training...
step 1517 | Training...
step 1518 | Training...
step 1519 | Training...
step 1520 | Training...
step 1521 | Training...
step 1522 | Training...
step 1523 | Training...
step 1524 | Training...
step 1525 | Training...
step 1526 | Training...
step 1527 | Training...
step 1528 | Training...
step 1529 | Training...
step 1530 | Training...
step 1531 | Training...
step 1532 | Training...
step 1533 | Training...
step 1534 | Training...
step 1535 | Training...
step 1536 | Training...
step 1537 | Training...
step 1538 | Training...
step 1539 | Training...
step 1540 | Training...
step 1541 | Training...
step 1542 | Training...
step 1543 | Training...
step 1544 | Training...
step 1545 | Training...
step 1546 | Training...
step 1547 | Training...
step 1548 | Training...
step 1549 | Training...
step 1550 | Training...
step 1551 | Training...
step 1552 | Training...
step 1553 | Training...
step 1554 | Training...
step 1555 | Training...
step 1556 | Training...
step 1557 | Training...
step 1558 | Training...
step 1559 | Training...
step 1560 | Training...
step 1561 | Training...
step 1562 | Training...
step 1563 | Training...
step 1564 | Training...
step 1565 | Training...
step 1566 | Training...
step 1567 | Training...
step 1568 | Training...
step 1569 | Training...
step 1570 | Training...
step 1571 | Training...
step 1572 | Training...
step 1573 | Training...
step 1574 | Training...
step 1575 | Training...
step 1576 | Training...
step 1577 | Training...
step 1578 | Training...
step 1579 | Training...
step 1580 | Training...
step 1581 | Training...
step 1582 | Training...
step 1583 | Training...
step 1584 | Training...
step 1585 | Training...
step 1586 | Training...
step 1587 | Training...
step 1588 | Training...
step 1589 | Training...
step 1590 | Training...
step 1591 | Training...
step 1592 | Training...
step 1593 | Training...
step 1594 | Training...
step 1595 | Training...
step 1596 | Training...
step 1597 | Training...
step 1598 | Training...
step 1599 | Training...
step 1600 | Training...
step 1601 | Training...
step 1602 | Training...
step 1603 | Training...
step 1604 | Training...
step 1605 | Training...
step 1606 | Training...
step 1607 | Training...
step 1608 | Training...
step 1609 | Training...
step 1610 | Training...
step 1611 | Training...
step 1612 | Training...
step 1613 | Training...
step 1614 | Training...
step 1615 | Training...
step 1616 | Training...
step 1617 | Training...
step 1618 | Training...
step 1619 | Training...
step 1620 | Training...
step 1621 | Training...
step 1622 | Training...
step 1623 | Training...
step 1624 | Training...
step 1625 | Training...
step 1626 | Training...
step 1627 | Training...
step 1628 | Training...
step 1629 | Training...
step 1630 | Training...
step 1631 | Training...
step 1632 | Training...
step 1633 | Training...
step 1634 | Training...
step 1635 | Training...
step 1636 | Training...
step 1637 | Training...
step 1638 | Training...
step 1639 | Training...
step 1640 | Training...
step 1641 | Training...
step 1642 | Training...
step 1643 | Training...
step 1644 | Training...
step 1645 | Training...
step 1646 | Training...
step 1647 | Training...
step 1648 | Training...
step 1649 | Training...
step 1650 | Training...
step 1651 | Training...
step 1652 | Training...
step 1653 | Training...
step 1654 | Training...
step 1655 | Training...
step 1656 | Training...
step 1657 | Training...
step 1658 | Training...
step 1659 | Training...
step 1660 | Training...
step 1661 | Training...
step 1662 | Training...
step 1663 | Training...
step 1664 | Training...
step 1665 | Training...
step 1666 | Training...
step 1667 | Training...
step 1668 | Training...
step 1669 | Training...
step 1670 | Training...
step 1671 | Training...
step 1672 | Training...
step 1673 | Training...
step 1674 | Training...
step 1675 | Training...
step 1676 | Training...
step 1677 | Training...
step 1678 | Training...
step 1679 | Training...
step 1680 | Training...
step 1681 | Training...
step 1682 | Training...
step 1683 | Training...
step 1684 | Training...
step 1685 | Training...
step 1686 | Training...
step 1687 | Training...
step 1688 | Training...
step 1689 | Training...
step 1690 | Training...
step 1691 | Training...
step 1692 | Training...
step 1693 | Training...
step 1694 | Training...
step 1695 | Training...
step 1696 | Training...
step 1697 | Training...
step 1698 | Training...
step 1699 | Training...
step 1700 | Training...
step 1701 | Training...
step 1702 | Training...
step 1703 | Training...
step 1704 | Training...
step 1705 | Training...
step 1706 | Training...
step 1707 | Training...
step 1708 | Training...
step 1709 | Training...
step 1710 | Training...
step 1711 | Training...
step 1712 | Training...
step 1713 | Training...
step 1714 | Training...
step 1715 | Training...
step 1716 | Training...
step 1717 | Training...
step 1718 | Training...
step 1719 | Training...
step 1720 | Training...
step 1721 | Training...
step 1722 | Training...
step 1723 | Training...
step 1724 | Training...
step 1725 | Training...
step 1726 | Training...
step 1727 | Training...
step 1728 | Training...
step 1729 | Training...
step 1730 | Training...
step 1731 | Training...
step 1732 | Training...
step 1733 | Training...
step 1734 | Training...
step 1735 | Training...
step 1736 | Training...
step 1737 | Training...
step 1738 | Training...
step 1739 | Training...
step 1740 | Training...
step 1741 | Training...
step 1742 | Training...
step 1743 | Training...
step 1744 | Training...
step 1745 | Training...
step 1746 | Training...
step 1747 | Training...
step 1748 | Training...
step 1749 | Training...
step 1750 | Training...
step 1751 | Training...
step 1752 | Training...
step 1753 | Training...
step 1754 | Training...
step 1755 | Training...
step 1756 | Training...
step 1757 | Training...
step 1758 | Training...
step 1759 | Training...
step 1760 | Training...
step 1761 | Training...
step 1762 | Training...
step 1763 | Training...
step 1764 | Training...
step 1765 | Training...
step 1766 | Training...
step 1767 | Training...
step 1768 | Training...
step 1769 | Training...
step 1770 | Training...
step 1771 | Training...
step 1772 | Training...
step 1773 | Training...
step 1774 | Training...
step 1775 | Training...
step 1776 | Training...
step 1777 | Training...
step 1778 | Training...
step 1779 | Training...
step 1780 | Training...
step 1781 | Training...
step 1782 | Training...
step 1783 | Training...
step 1784 | Training...
step 1785 | Training...
step 1786 | Training...
step 1787 | Training...
step 1788 | Training...
step 1789 | Training...
step 1790 | Training...
step 1791 | Training...
step 1792 | Training...
step 1793 | Training...
step 1794 | Training...
step 1795 | Training...
step 1796 | Training...
step 1797 | Training...
step 1798 | Training...
step 1799 | Training...
step 1800 | Training...
step 1801 | Training...
step 1802 | Training...
step 1803 | Training...
step 1804 | Training...
step 1805 | Training...
step 1806 | Training...
step 1807 | Training...
step 1808 | Training...
step 1809 | Training...
step 1810 | Training...
step 1811 | Training...
step 1812 | Training...
step 1813 | Training...
step 1814 | Training...
step 1815 | Training...
step 1816 | Training...
step 1817 | Training...
step 1818 | Training...
step 1819 | Training...
step 1820 | Training...
step 1821 | Training...
step 1822 | Training...
step 1823 | Training...
step 1824 | Training...
step 1825 | Training...
step 1826 | Training...
step 1827 | Training...
step 1828 | Training...
step 1829 | Training...
step 1830 | Training...
step 1831 | Training...
step 1832 | Training...
step 1833 | Training...
step 1834 | Training...
step 1835 | Training...
step 1836 | Training...
step 1837 | Training...
step 1838 | Training...
step 1839 | Training...
step 1840 | Training...
step 1841 | Training...
step 1842 | Training...
step 1843 | Training...
step 1844 | Training...
step 1845 | Training...
step 1846 | Training...
step 1847 | Training...
step 1848 | Training...
step 1849 | Training...
step 1850 | Training...
step 1851 | Training...
step 1852 | Training...
step 1853 | Training...
step 1854 | Training...
step 1855 | Training...
step 1856 | Training...
step 1857 | Training...
step 1858 | Training...
step 1859 | Training...
step 1860 | Training...
step 1861 | Training...
step 1862 | Training...
step 1863 | Training...
step 1864 | Training...
step 1865 | Training...
step 1866 | Training...
step 1867 | Training...
step 1868 | Training...
step 1869 | Training...
step 1870 | Training...
step 1871 | Training...
step 1872 | Training...
step 1873 | Training...
step 1874 | Training...
step 1875 | Training...
step 1876 | Training...
step 1877 | Training...
step 1878 | Training...
step 1879 | Training...
step 1880 | Training...
step 1881 | Training...
step 1882 | Training...
step 1883 | Training...
step 1884 | Training...
step 1885 | Training...
step 1886 | Training...
step 1887 | Training...
step 1888 | Training...
step 1889 | Training...
step 1890 | Training...
step 1891 | Training...
step 1892 | Training...
step 1893 | Training...
step 1894 | Training...
step 1895 | Training...
step 1896 | Training...
step 1897 | Training...
step 1898 | Training...
step 1899 | Training...
step 1900 | Training...
step 1901 | Training...
step 1902 | Training...
step 1903 | Training...
step 1904 | Training...
step 1905 | Training...
step 1906 | Training...
step 1907 | Training...
step 1908 | Training...
step 1909 | Training...
step 1910 | Training...
step 1911 | Training...
step 1912 | Training...
step 1913 | Training...
step 1914 | Training...
step 1915 | Training...
step 1916 | Training...
step 1917 | Training...
step 1918 | Training...
step 1919 | Training...
step 1920 | Training...
step 1921 | Training...
step 1922 | Training...
step 1923 | Training...
step 1924 | Training...
step 1925 | Training...
